Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,"9,224.37",Afghanistan,"1,528.18",,Afghanistan,500,26,11.00%,,,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Finland,EUR,"5,479,531.00",Europe and Central Asia,A,395.10,377.36,17.74,94.00,97.14,97.14,,,0.00%,,,0.00%,,,,"520,460",698,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,Federated States of Micronesia,170.77,Fiji,111.56,,Guyana,200,157,95.00%,,,100,,,2015,,Guinea,29 [24-34],33 525,29.00%,"33,525.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,EUR,"66,624,068.00",Europe and Central Asia,A,"26,183.84","25,608.36",575.48,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"6,328,121","8,489",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,Fiji,"1,054.25",Finland,17.74,,Haiti,"9,500","2,865",30.00%,,,90,,,2015,,Guinea-Bissau,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,WPR,"277,690.00",,A,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,Finland,377.36,France,575.48,,Holy See,,,,,,78,94,77,2015,,Guyana,59 [54-65],4 551,59.00%,"4,551.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,AFR,"1,930,175.00",Sub-Saharan Africa,A,"62,694.72","59,623.49","3,071.23",97.14,97.14,97.14,"27,037.00","46,616",58.00%,"25,662","44,016",58.30%,"1,375.00","2,600.00",52%,"40,000","3,900","23,320.87","2,028.00",222.12,4.19,84.73,0.1,0.51,166.58,59.33,19.54,92.21,197.93,3.19,850.43,,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,France,"25,608.36",Gabon,"3,071.23",,Honduras,1000,573,74.00%,,,81,51,82,2015,,Haiti,52 [43-62],68 849,52.00%,"68,849.00",222.09016635237876,4.175895371049702,84.68992702682304,0.09980330329288034,0.5121290801095371,166.5803544552261,59.32787229303727,19.542966933626023,92.18696150165404,194.30987817268368,3.1939726980735723,846.7099271879547
Gambia,AFR,"1,977,590.00",Sub-Saharan Africa,A,0.00,0.00,0.00,83.00,97.14,97.14,"5,022.00","20,925",24.00%,"4,584","19,125",23.97%,438.00,"1,800.00",24%,"12,000","1,335","2,876.24",320.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Gabon,"59,623.49",Georgia,12.31,,Hungary,,,,,,90,64,90,2015,,Honduras,52 [44-61],10 457,52.00%,"10,457.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,EUR,"3,717,100.00",Europe and Central Asia,A,"1,693.77","1,681.46",12.31,84.00,84.00,75.00,"3,044.00","9,513",32.00%,"2,991","9,413",31.78%,53.00,100.00,95%,"5,300",251,"1,684.18",237.98,17.86,0.21,6.8,0.0,0.02,13.49,4.89,1.56,7.41,16.21,0.27,68.73,,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,Georgia,"1,681.46",Germany,452.00,,Iceland,,,,,,84,100,84,2015,,Hungary,High-income country,No data,,,17.857093949220026,0.21200778421995264,6.795386239954746,0.004095036274587622,0.021143806753958147,13.493885704137215,4.886387011113992,1.565378415059123,7.413337788450835,15.905423469217874,0.2744166592133681,68.42855586361567
Germany,EUR,"81,686,611.00",Europe and Central Asia,A,"21,436.78","20,984.78",452.00,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"108,723",146,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,Germany,"20,984.78",Ghana,"118,784.90",,India,,"50,976",,,,91,,,2015,,Iceland,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,AFR,"27,582,821.00",Sub-Saharan Africa,A,"619,574.50","500,789.60","118,784.90",97.14,97.14,97.14,"94,047.00","276,609",34.00%,"89,113","257,609",34.59%,"4,934.00","19,000.00",27%,"210,000","32,000","72,643.98","8,640.00",1223.32,70.61,506.36,2.0,10.24,823.85,284.42,132.49,537.24,951.61,15.89,4558.04,,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,Ghana,"500,789.60",Greater London,257.47,,Indonesia,"17,000","2,708",16.00%,,,67,,67,2015,,India,43 [36-54],919 141,43.00%,"919,141.00",1222.6203570898845,70.41510082646066,505.6256403813528,2.002405234864751,10.238522417324168,823.8336037711827,284.4123634590024,132.33192744536686,536.694422135313,933.5573059703402,15.902572927952813,4537.634221659046
Greece,EUR,"10,820,883.00",Europe and Central Asia,A,934.74,898.33,36.41,97.00,97.00,97.14,,,0.00%,,,0.00%,,100.00,,"14,402",19,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,Greater London,"3,531.25",Greece,36.41,,Iran (Islamic Republic of),"1,900",233,12.00%,,,100,100,100,2015,,Indonesia,9 [8-10],63 066,9.00%,"63,066.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,EUR,"56,114.00",Europe and Central Asia,A,89.53,88.33,1.20,97.14,97.14,97.14,,,36.37%,,,0.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,Greece,898.33,Greenland,1.20,,Iraq,,,,,,62,71,61,2015,,Iran (Islamic Republic of),9 [6-15],6 484,9.00%,"6,484.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,AMR,"106,823.00",Latin America and the Caribbean,B,511.35,487.70,23.65,57.00,57.00,97.14,,,100.00%,,,100.00%,2.00,,,,,,,48.04,0.17,17.34,0.0,0.0,38.02,13.45,3.66,19.15,45.21,0.67,185.71,,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,Greenland,88.33,Grenada,23.65,,Ireland,,,,,,90,85,91,2015,,Iraq,No data,No data,,,48.04758713777087,0.17130127342077317,17.34009968244749,0.0,0.0,38.02077212218328,13.453387943607941,3.6583409242644636,19.14705975445156,44.44824312345498,0.6748022804795025,184.96159424208085
Guam,WPR,"161,797.00",,A,205.42,194.29,11.12,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.41,0.0,0.15,0.0,0.0,0.32,0.12,0.03,0.17,0.39,0.01,1.6,,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,Grenada,487.70,Guam,11.12,,Israel,,,,,,77,74,77,2015,,Ireland,High-income country,No data,,,0.4131798456342282,0.0016493086150849866,0.1536638561092711,0.0,0.0,0.31965014933957553,0.1163525498158475,0.03467961753653555,0.16871502848001138,0.37862586353193556,0.0064876000939531825,1.593003819156443
Guatemala,AMR,"16,252,429.00",Latin America and the Caribbean,B,"38,238.00","31,371.62","6,866.38",89.00,89.00,86.00,"16,315.00","54,383",30.00%,"15,459","52,383",29.51%,856.00,"2,000.00",44%,"54,000","1,242","15,936.10",546.53,285.93,25.24,126.48,0.73,3.72,174.69,57.99,34.81,131.79,195.22,3.27,1039.86,,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,Guam,194.29,Guatemala,"6,866.38",,Italy,"1,400",,,,,52,80,52,2015,,Israel,High-income country,No data,,,285.6807236381978,25.1697815239901,126.21160803056185,0.7259515270130668,3.720875907558308,174.68900143623932,57.99072516148398,34.74517675227137,131.59616943424632,191.51487791700734,3.268226843994036,1035.3131181725635
Guinea,AFR,"12,091,533.00",Sub-Saharan Africa,A,"283,675.07","235,195.10","48,479.97",97.14,97.14,97.14,"33,525.00","115,603",29.00%,"31,993","108,603",29.46%,"1,532.00","7,000.00",22%,"96,000","13,000","28,280.21","2,860.00",470.83,23.68,192.17,0.67,3.4,323.43,112.83,49.7,204.75,376.69,6.36,1764.49,,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,Guatemala,"31,371.62",Guinea,"48,479.97",,Jamaica,500,666,95.00%,,,93,,93,2015,,Italy,High-income country,No data,,,470.64866603481164,23.611959226496108,191.93904468543676,0.6657813039243734,3.401797038014777,323.46083695262297,112.83719473648237,49.65588088945543,204.58454345118014,369.5183052008545,6.359743337918856,1756.6837528571978
Guinea-Bissau,AFR,"1,770,526.00",Sub-Saharan Africa,A,"98,609.14","78,821.69","19,787.45",97.14,97.14,97.14,,,35.84%,,,35.84%,,,,"34,000","5,400","12,183.99",0.00,165.0,0.66,61.38,0.0,0.0,127.63,46.47,13.85,67.39,154.13,2.59,639.11,,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,Guinea,"235,195.10",Guinea-Bissau,"19,787.45",,Japan,,,,,,83,,,2015,,Jamaica,34 [29-39],9 764,34.00%,"9,764.00",165.03674294489426,0.6593539534214558,61.391036591615254,0.0,0.0,127.65573845500731,46.47575180162735,13.862306706883595,67.40089440164257,151.22373863444287,2.593555182988106,636.2991186725228
Guyana,AMR,"768,514.00",Latin America and the Caribbean,B,"22,713.27","20,913.44","1,799.83",78.00,78.00,87.00,"4,551.00","7,714",59.00%,"4,394","7,514",58.48%,157.00,200.00,95%,"6,500",59,"3,801.26",55.80,673.43,30.87,277.33,0.82,4.25,463.64,160.61,66.58,295.89,538.19,8.64,2520.26,,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau,"78,821.69",Guyana,"1,799.83",,Jordan,,2,,,,81,,,2015,,Japan,High-income country,No data,,,673.173684653444,30.791420934525057,277.04095428839076,0.8232540670085442,4.250688818133036,463.65659685873385,160.61747287911012,66.52630149292385,295.674993514419,528.4044094032556,8.644455693903002,2509.604232603847
Haiti,AMR,"10,711,061.00",Latin America and the Caribbean,B,"356,824.29","313,251.60","43,572.69",97.14,97.14,97.14,"68,849.00","132,402",52.00%,"65,984","122,902",53.69%,"2,865.00","9,500.00",30%,"130,000","15,000","69,794.84","4,500.00",1099.85,31.11,427.45,0.82,4.17,805.36,284.84,102.27,462.32,950.9,15.44,4184.53,,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,Guyana,"20,913.44",Haiti,"43,572.69",,Kazakhstan,500,379,95.00%,,,76,76,76,2015,,Jordan,No data,No data,,,1099.6801078324152,31.035486358761425,427.182209495384,0.8162267927113513,4.17524032510831,805.4232588874838,284.8603912397151,102.23763173997668,462.13369244792835,933.460704093682,15.451025368041705,4166.4559745812085
Honduras,AMR,"8,960,829.00",Latin America and the Caribbean,B,"30,779.65","25,959.27","4,820.38",83.00,83.00,80.00,"10,457.00","20,110",52.00%,"9,884","19,110",51.72%,573.00,"1,000.00",74%,"24,000",685,"12,413.44",506.79,635.18,47.38,276.9,1.33,6.83,401.76,134.73,71.47,290.49,453.58,7.33,2326.99,,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,Haiti,"313,251.60",High-income Asia Pacific,"1,036.92",,Kenya,"98,000","71,547",73.00%,,,12,,,2015,,Kazakhstan,27 [23-32],6 285,27.00%,"6,285.00",634.7213330367542,47.2485310402519,276.4131099527843,1.3261097446873307,6.826318491852302,401.7621220865951,134.73039622524755,71.36540152005789,290.1386375612292,445.27031891723317,7.331158182352508,2317.1334367590453
Hungary,EUR,"9,843,028.00",Europe and Central Asia,A,"1,748.93","1,725.24",23.68,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"934,915","1,254",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,High-income Asia Pacific,"12,481.74",High-income North America,"6,264.78",,Kiribati,,2,,,,82,100,81,2015,,Kenya,59 [50-69],897 644,59.00%,"897,644.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,EUR,"330,815.00",Europe and Central Asia,A,60.81,59.18,1.63,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"31,422",42,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,High-income North America,"371,151.20",Honduras,"4,820.38",,Kuwait,,,,,,96,,,2015,,Kiribati,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,SEA,"1,309,053,980.00","East, South and South-East Asia",A,"6,823,203.00","5,770,929.00","1,052,274.00",97.14,97.14,97.14,"919,141.00","2,137,537",43.00%,"868,165","2,137,537",40.62%,"50,976.00",,,"2,000,000","108,640","812,303.99",0.00,13800.33,54.68,5123.83,0.0,0.0,10691.97,3885.72,1150.92,5628.05,12898.23,215.11,53448.83,,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,Honduras,"25,959.27",Hungary,23.68,,Kyrgyzstan,200,387,95.00%,,,82,93,80,2015,,Kuwait,High-income country,No data,,,13803.33228933403,54.71675671181694,5124.7456733207655,0.0,0.0,10693.822097371003,3886.3581329365747,1151.6965594762964,5628.920990897273,12656.441507881336,215.25077452602739,53215.28478245512
Indonesia,SEA,"258,162,113.00","East, South and South-East Asia",A,"933,303.21","855,522.10","77,781.11",97.14,97.14,97.14,"63,066.00","700,733",9.00%,"60,358","683,733",8.83%,"2,708.00","17,000.00",16%,"500,000","21,476","44,138.55","3,436.17",503.69,27.4,207.92,0.78,3.96,340.63,119.09,55.14,220.76,396.93,6.92,1883.22,,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,Hungary,"1,725.24",Iceland,1.63,,Lao People's Democratic Republic,,222,,,,87,93,87,2015,,Kyrgyzstan,26 [21-33],2 109,26.00%,"2,109.00",503.56284853676635,27.31959217023318,207.68381429395637,0.7766837797357612,3.9650750197850293,340.73028630119074,119.12643492841046,55.09502752295374,220.60645016895762,389.2021695556447,6.9284670164693285,1874.9968492941034
Iran,EMR,"79,360,487.00",Middle East and North Africa,A,"26,412.30","26,382.84",29.46,97.14,97.14,97.14,,,36.37%,,,0.00%,,,,"59,000","4,052",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,The Former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,Iceland,59.18,India,"1,052,274.00",,Latvia,100,36,95.00%,,,90,100,90,2015,,Lao People's Democratic Republic,No data,3 879,,"3,879.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,EMR,"36,115,649.00",Middle East and North Africa,A,"6,002.31","4,860.86","1,141.45",97.14,97.14,97.14,,,0.00%,,,0.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,India,"5,770,929.00",Indonesia,"77,781.11",,Lebanon,,5,,,,79,,,2015,,Latvia,20 [18-23],1 388,20.00%,"1,388.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,EUR,"4,676,835.00",Europe and Central Asia,A,664.85,642.53,22.32,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"444,217",596,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Togo,,,,,,,,,,,,,,,,,,,,,,,,,Indonesia,"855,522.10",Iran,29.46,,Lesotho,"13,000","7,466",56.00%,,,78,80,77,2015,,Lebanon,37 [32-42],890,37.00%,890.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,EUR,"8,380,100.00",Middle East and North Africa,A,"1,917.36","1,712.95",204.41,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,"795,963","1,068",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,Iran,"26,382.84",Iraq,"1,141.45",,Liberia,"3,900",389,10.00%,,,86,,,2015,,Lesotho,42 [38-45],129 127,42.00%,"129,127.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,EUR,"60,730,582.00",Europe and Central Asia,A,"35,146.02","34,549.22",596.80,97.14,97.14,97.14,,,0.00%,,,0.00%,,"1,400.00",,"5,768,343","7,738",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,Iraq,"4,860.86",Ireland,22.32,,Libya,,,,,,67,74,67,2015,,Liberia,24 [20-29],7 391,24.00%,"7,391.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,AMR,"2,871,934.00",Latin America and the Caribbean,B,"18,149.01","18,077.68",71.33,60.00,60.00,97.14,"9,764.00","28,718",34.00%,"9,098","28,218",32.24%,666.00,500.00,95%,"28,000",427,"9,027.83",405.81,480.78,3.97,181.18,0.06,0.31,367.1,133.34,41.4,198.2,442.32,7.48,1856.13,,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,Ireland,642.53,Israel,204.41,,Liechtenstein,,,,,,90,95,88,2015,,Libya,No data,No data,,,480.7717712871571,3.9629251777300816,181.1539754819016,0.05932147389649371,0.30629320385049447,367.0876184053401,133.3348257103029,41.41048213304271,198.17709664213876,433.82500441005897,7.482646257543126,1847.5719601829624
Japan,WPR,"127,141,000.00","East, South and South-East Asia",A,"6,480.23","5,784.24",695.99,97.14,97.14,97.14,,,25.18%,,,25.18%,,,,"66,913","3,555","16,848.99",0.00,8.36,0.03,3.12,0.0,0.0,6.45,2.36,0.71,3.43,7.8,0.13,32.4,,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,Israel,"1,712.95",Italy,596.80,,Lithuania,,5,,,,57,,,2015,,Lithuania,High-income country,566,,566.00,8.362941992133873,0.03398915719148273,3.1237698351550347,0.0,0.0,6.446239374487089,2.355884674090607,0.7127610067574826,3.4261632201641916,7.651845872392895,0.1336630648157177,32.24725819718837
Jordan,EMR,"9,159,302.00",Middle East and North Africa,A,604.56,500.76,103.80,73.00,73.00,97.14,,,0.00%,,,0.00%,2.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,Italy,"34,549.22",Jamaica,71.33,,Luxembourg,,2,,,,96,,,2015,,Luxembourg,High-income country,700,,700.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,EUR,"17,544,126.00",Europe and Central Asia,A,"17,870.28","16,929.48",940.80,75.00,74.00,91.00,"6,285.00","23,278",27.00%,"5,906","22,778",25.93%,379.00,500.00,95%,"95,025","1,182","24,638.74","1,123.24",281.4,17.93,122.12,0.49,2.52,181.08,62.14,30.75,128.61,207.89,3.52,1038.44,,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,Jamaica,"18,077.68",Japan,695.99,,Madagascar,"3,800",16,1.00%,,,93,,,2015,,Madagascar,3 [2-3],1 234,3.00%,"1,234.00",281.25301648948556,17.880735820537772,121.9547117122999,0.48900920581996776,2.5248900023004444,181.0952159301457,62.142057407002895,30.7170307664094,128.48365794423978,203.91549286424893,3.5216129270160015,1033.9774310695063
Kenya,AFR,"47,236,259.00",Sub-Saharan Africa,A,"3,104,198.30","2,110,755.00","993,443.30",81.00,97.14,97.14,"897,644.00","1,521,431",59.00%,"826,097","1,423,431",58.04%,"71,547.00","98,000.00",73%,"1,400,000","230,000","812,498.95","167,900.00",84805.45,10524.81,40823.72,301.17,1550.71,45146.19,13883.04,11320.82,41734.31,47478.87,747.34,298316.44,,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,Japan,"5,784.24",Jordan,103.80,,Malawi,"84,000","51,487",61.00%,,,86,91,85,2015,,Malawi,61 [56-66],595 186,61.00%,"595,186.00",84705.47094822067,10495.198148112508,40716.128970794125,301.3151590033224,1550.8346059900819,45151.822902900094,13884.723334725639,11294.173887105928,41656.68096860177,46637.41202554494,747.8144263582466,297141.57537735737
Kiribati,WPR,"112,407.00",Oceania,A,28.23,25.43,2.80,89.00,86.00,97.14,,,36.37%,,,36.37%,2.00,,,,,,,0.21,0.0,0.08,0.0,0.0,0.16,0.06,0.02,0.08,0.19,0.0,0.81,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,Jordan,500.76,Kazakhstan,940.80,,Malaysia,500,487,95.00%,,,,,,,,Malaysia,28 [25-33],25 700,28.00%,"25,700.00",0.20799921359582269,0.0008302798370716893,0.07735605104302382,0.0,0.0,0.16091535052093828,0.05857313496116041,0.017458095431375373,0.0849329743849735,0.19060436440406534,0.0032659282196959632,0.8019353923981271
Kuwait,EMR,"3,935,794.00",Middle East and North Africa,A,347.86,201.33,146.53,97.14,97.14,97.14,,,0.00%,,,0.00%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,Kazakhstan,"16,929.48",Kenya,"993,443.30",,Maldives,,0,,,,,,,,,Maldives,No data,9,,9.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,EUR,"5,956,900.00",Europe and Central Asia,A,"13,953.08","13,823.43",129.65,76.00,74.00,89.00,"2,109.00","8,112",26.00%,"1,722","7,912",21.77%,387.00,200.00,95%,"6,200",401,"1,349.47",381.38,152.22,2.84,59.18,0.06,0.33,112.47,40.62,13.92,64.19,134.76,2.32,582.92,,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,Kenya,"2,110,755.00",Kiribati,2.80,,Mali,"12,000","2,665",23.00%,,,,,,,,Mali,28 [24-34],34 974,28.00%,"34,974.00",152.24089950163537,2.836378182360247,59.173578897787955,0.06469392197403961,0.33403264163087004,112.49878055498755,40.62981317762104,13.926607399125787,64.18395784996585,132.1651382166761,2.317254448633293,580.3711347923982
Lao People's Democratic Republic,WPR,"6,663,967.00","East, South and South-East Asia",A,0.00,0.00,0.00,84.00,83.00,92.00,"3,879.00","15,405",25.18%,"3,657","15,405",23.74%,222.00,,,"9,700",590,"2,302.72",0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,,,,,,,,,Kiribati,25.43,Kuwait,146.53,,Malta,,,,,,,,,,,Malta,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latvia,EUR,"1,977,527.00",Europe and Central Asia,A,"5,393.94","5,342.37",51.57,97.14,97.14,97.14,"1,388.00","6,940",20.00%,"1,352","6,840",19.77%,36.00,100.00,95%,"2,632",4,520.25,3.35,6.39,0.13,2.5,0.0,0.02,4.69,1.69,0.59,2.71,5.62,0.1,24.44,,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,Kuwait,201.33,Kyrgyzstan,129.65,,Marshall Islands,,,,,,,,,,,Marshall Islands,No data,No data,,,6.3929206800897775,0.1311576911403758,2.4985772537695605,0.00306649938640426,0.015833185859578783,4.695568850488892,1.6939773849943982,0.5910033974163355,2.7060662363585837,5.510208766533669,0.09690865826815648,24.335288604305735
Lebanon,EMR,"5,851,479.00",Middle East and North Africa,A,"4,061.85","3,875.69",186.16,92.00,92.00,97.14,890.00,"2,405",37.00%,885,"2,405",36.79%,5.00,,,"5,516",299,"2,029.63",0.00,23.34,0.09,8.68,0.0,0.0,18.06,6.57,1.96,9.53,21.8,0.37,90.39,,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,Kyrgyzstan,"13,823.43",Laos,889.47,,Mauritania,"1,300",157,13.00%,,,,,,,,Mauritania,18 [11-27],2 458,18.00%,"2,458.00",23.337182930683102,0.09309225979380031,8.677770744561375,0.0,0.0,18.05695714795987,6.571703501594808,1.9576268847256033,9.528117956723456,21.386751416752794,0.3661844428689846,89.9753872856638
Lesotho,AFR,"2,174,645.00",Sub-Saharan Africa,A,"733,974.30","579,343.10","154,631.20",97.14,97.14,97.14,"129,127.00","307,445",42.00%,"121,661","294,445",41.32%,"7,466.00","13,000.00",56%,"300,000","39,000","123,956.16","21,840.00",2023.48,189.06,908.25,5.41,27.79,1212.05,397.3,247.78,943.64,1341.53,21.97,7318.26,,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,Laos,"9,048.13",Latin America and Caribbean,"142,195.70",,Mauritius,,23,,,,,,,,,Mauritius,31 [26-36],2 537,31.00%,"2,537.00",2021.6982278719902,188.5315138632742,906.3184950156182,5.412261679383716,27.788315176884183,1212.1465875850893,397.32457077260415,247.32700577839867,942.2427255388155,1316.72855268467,21.98196689408379,7287.500222860811
Liberia,AFR,"4,499,621.00",Sub-Saharan Africa,A,"116,441.79","97,314.25","19,127.54",97.14,97.14,97.14,"7,391.00","30,796",24.00%,"7,002","26,896",26.03%,389.00,"3,900.00",10%,"21,000","4,000","5,467.09",400.00,157.98,4.51,61.82,0.12,0.61,114.84,41.03,15.21,66.74,136.42,2.32,601.61,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America and Caribbean,"2,102,207.00",Latvia,51.57,,Mexico,"1,800","1,960",95.00%,,,,,,,,Mexico,59 [54-64],117 631,59.00%,"117,631.00",157.92716821926913,4.502853291123225,61.769277634293985,0.11934735658611151,0.6087668298723362,114.8294604422022,41.0284059019161,15.200428476257494,66.70404821489427,133.77289918624402,2.3247364921852443,598.7873920448441
